W_E,Random Matrix for Comparison,x
4.5712237,21.70199,0
4.522017,20.754171,1
4.448622,20.637451,2
4.3728013,20.389044,3
3.858904,20.17419,4
3.8520699,19.521898,5
3.4700313,19.339937,6
3.449409,18.845705,7
2.3425279,18.595547,8
2.3291018,18.450203,9
2.243044,18.128666,10
2.1424382,17.753214,11
1.7337161,17.71401,12
1.2700821,17.531784,13
1.1379058,17.02364,14
1.0273676,16.904657,15
0.875092,16.596382,16
0.7413548,16.22402,17
0.66339415,16.122122,18
0.6197562,15.86048,19
0.565129,15.737509,20
0.42054754,15.688004,21
0.3689038,15.480764,22
0.33043495,15.043098,23
0.28113377,14.999265,24
0.2472361,14.866857,25
0.20334423,14.770799,26
0.16012819,14.376169,27
0.1537561,14.294545,28
0.13408734,13.924984,29
0.12866512,13.8685055,30
0.1282022,13.808307,31
0.120614246,13.293264,32
0.11809673,13.204066,33
0.113478065,12.914198,34
0.108836524,12.828293,35
0.10796451,12.631449,36
0.10151998,12.522913,37
0.10004642,12.377313,38
0.097986504,12.304809,39
0.095975064,12.128641,40
0.09455572,11.927495,41
0.093498744,11.682222,42
0.08964127,11.236368,43
0.08747061,11.156321,44
0.086518064,11.032214,45
0.08433982,10.848494,46
0.08313563,10.705119,47
0.08175877,10.51654,48
0.081141785,10.438922,49
0.07951741,10.214112,50
0.07700364,10.18698,51
0.07635819,9.908064,52
0.07355397,9.8551655,53
0.07160868,9.712349,54
0.07085405,9.603958,55
0.06913194,9.409796,56
0.06624638,9.202054,57
0.06597375,9.063015,58
0.064825095,8.892142,59
0.06356079,8.73902,60
0.062743895,8.47779,61
0.06183866,8.377887,62
0.059079625,8.31041,63
0.058376092,8.187141,64
0.05651065,8.141639,65
0.055085644,7.660817,66
0.054368887,7.502526,67
0.052203976,7.370462,68
0.05133924,7.207497,69
0.049970873,7.0533123,70
0.04948158,6.998573,71
0.048077133,6.901123,72
0.045364052,6.8220935,73
0.045082282,6.754741,74
0.044089254,6.4326715,75
0.0423207,6.1452875,76
0.042127494,6.0866466,77
0.04073107,6.0342693,78
0.03956973,5.9187646,79
0.03843014,5.7528067,80
0.03797785,5.623831,81
0.037207916,5.487208,82
0.035680838,5.0880895,83
0.03491842,5.025583,84
0.03357531,4.9458275,85
0.032719348,4.646149,86
0.03154655,4.483842,87
0.029242668,4.4185247,88
0.028251257,4.251695,89
0.026596617,4.2020154,90
0.025841521,3.8872945,91
0.025193872,3.8143463,92
0.023846947,3.680376,93
0.022372073,3.4711783,94
0.021744534,3.2748652,95
0.021030013,3.210879,96
0.02037462,3.1145163,97
0.019342087,2.9860754,98
0.018544354,2.7663574,99
0.017052693,2.5595183,100
0.01643796,2.466875,101
0.014633279,2.260201,102
0.014273992,2.2568004,103
0.01314845,1.9104506,104
0.012340241,1.7499719,105
0.011822852,1.579919,106
0.011274178,1.4731362,107
0.009456861,1.3038328,108
0.00905235,1.1817417,109
0.0077634454,1.0734017,110
0.006978858,0.87178093,111
0.005645545,0.74196327,112
